AccountID,CustomerID,BankID,AccountType,Balance,AccountStatus,OpeningDate,BranchID,AverageMonthlyBalance,TransactionLimit,InternationalEnabled
AC0000001,C000001,7,Credit,3202.78,Dormant,2017-05-18,B02003,6930.88,25000,True
AC0000002,C000002,8,Current,3656.49,Active,2024-11-01,B09002,9601.36,250000,True
AC0000003,C000003,1,Current,45567.56,Active,2025-10-09,B10005,26485.81,250000,True
AC0000004,C000004,9,Checking,2687.85,Active,2017-05-09,B08007,8626.46,50000,False
AC0000005,C000005,8,Current,16762.24,Active,2021-05-11,B04007,6967.6,250000,True
AC0000006,C000006,8,Credit,16385.49,Active,2022-12-03,B02010,3663.89,100000,True
AC0000007,C000007,4,Business,7124.26,Active,2025-03-22,B07003,23860.88,100000,True
AC0000008,C000008,9,Business,16909.06,Active,2018-12-21,B05009,9463.77,25000,True
AC0000009,C000009,4,Credit,25150.25,Active,2022-11-28,B10010,9158.07,25000,True
AC0000010,C000010,1,Current,11557.95,Active,2022-07-31,B05009,7689.35,100000,True
AC0000011,C000011,10,Business,7666.47,Active,2017-08-04,B06010,10351.24,50000,True
AC0000012,C000012,3,Current,3886.62,Active,2018-10-18,B05004,12776.79,25000,True
AC0000013,C000013,2,Credit,16349.86,Active,2019-06-29,B05004,10159.96,50000,True
AC0000014,C000014,7,Business,32575.47,Dormant,2016-07-20,B10004,7201.53,25000,True
AC0000015,C000015,3,Credit,13696.87,Active,2020-05-27,B10006,8168.72,250000,True
AC0000016,C000016,9,Checking,53817.36,Active,2025-12-05,B03004,2257.83,250000,False
AC0000017,C000017,5,Business,5491.01,Active,2018-01-02,B08009,13955.7,25000,True
AC0000018,C000018,1,Business,8313.59,Active,2017-11-23,B07009,18095.08,100000,True
AC0000019,C000019,10,Current,9951.43,Active,2024-07-09,B07004,7893.12,25000,False
AC0000020,C000020,6,Current,9817.69,Dormant,2022-12-28,B04007,4985.85,250000,True
AC0000021,C000021,3,Business,16562.05,Active,2017-01-07,B04005,12563.33,50000,False
