CardID,CustomerID,AccountID,BankID,CardType,CardNetwork,CardCategory,IssueDate,ExpiryDate,CardStatus,BlockedFlag,BlockReason
CD0000001,C000001,AC0000001,7,Debit,Visa,Standard,2019-06-10,2027-05-11,Active,0,
CD0000002,C000002,AC0005002,8,Debit,Visa,Standard,2024-03-22,2027-11-13,Active,0,
CD0000003,C000003,AC0000003,1,Debit,Mastercard,Platinum,2022-01-14,2030-03-19,Active,0,
CD0000004,C000004,AC0005004,9,Debit,Visa,Standard,2021-01-24,2030-03-28,Active,0,
CD0000005,C000005,AC0000005,8,Debit,Mastercard,Platinum,2025-11-16,2026-05-21,Active,0,
CD0000006,C000006,AC0005006,8,Debit,Visa,Platinum,2019-04-11,2028-05-12,Active,0,
CD0000007,C000007,AC0000007,4,Debit,Mastercard,Platinum,2021-04-16,2026-10-05,Active,0,
CD0000008,C000008,AC0005008,9,Debit,Visa,Gold,2022-12-18,2027-08-07,Expired,0,
CD0000009,C000009,AC0000009,4,Debit,Visa,Standard,2025-11-04,2029-02-18,Blocked,1,Security Block
CD0000010,C000010,AC0005010,1,Debit,Mastercard,Business,2018-12-15,2029-10-18,Active,0,
CD0000011,C000011,AC0000011,10,Debit,Visa,Standard,2022-05-16,2028-08-08,Active,0,
CD0000012,C000012,AC0005012,3,Credit,Visa,Gold,2024-08-27,2030-01-06,Active,0,
CD0000013,C000013,AC0000013,2,Debit,Visa,Platinum,2019-11-15,2028-05-26,Active,0,
CD0000014,C000014,AC0005014,7,Credit,Visa,Gold,2024-05-04,2028-10-10,Blocked,1,Excessive Attempts
CD0000015,C000015,AC0000015,3,Debit,Visa,Gold,2018-03-24,2026-10-01,Active,0,
CD0000016,C000016,AC0005016,9,Credit,Visa,Standard,2021-04-03,2029-07-07,Active,0,
CD0000017,C000017,AC0000017,5,Debit,Visa,Standard,2020-07-18,2030-03-11,Active,0,
CD0000018,C000018,AC0005018,1,Debit,Visa,Platinum,2019-06-05,2028-11-15,Active,0,
CD0000019,C000019,AC0000019,10,Debit,Mastercard,Business,2021-02-11,2028-08-20,Active,0,
CD0000020,C000020,AC0005020,6,Credit,Mastercard,Business,2023-12-14,2030-12-28,Blocked,1,Security Block
CD0000021,C000021,AC0000021,3,Credit,Visa,Business,2024-12-25,2028-08-28,Active,0,
CD0000022,C000022,AC0005022,7,Debit,Mastercard,Business,2025-08-17,2030-04-08,Blocked,1,Lost/Stolen
CD0000023,C000023,AC0000023,6,Debit,Mastercard,Platinum,2020-08-07,2030-07-09,Active,0,
CD0000024,C000024,AC0005024,1,Credit,Amex,Platinum,2023-10-12,2030-01-09,Expired,0,
CD0000025,C000025,AC0000025,8,Credit,Mastercard,Platinum,2025-08-24,2028-12-27,Active,0,
CD0000026,C000026,AC0005026,5,Debit,Visa,Standard,2021-01-12,2030-08-30,Expired,0,
CD0000027,C000027,AC0000027,7,Debit,Visa,Standard,2025-05-22,2030-04-28,Blocked,1,Lost/Stolen
CD0000028,C000028,AC0005028,9,Debit,Amex,Platinum,2021-11-13,2028-07-03,Active,0,
CD0000029,C000029,AC0000029,7,Debit,Amex,Business,2023-04-03,2026-09-12,Active,0,
