DeviceID,DeviceType,OperatingSystem,Browser,IPAddress,FirstSeenDate,LastSeenDate,TrustedDeviceFlag,RiskScore
D000001,Mobile,iOS,Edge,IP-224.79.232.82,2021-06-24,2026-01-21,False,10
D000002,Tablet,Linux,Firefox,IP-971.187.8.170,2024-07-20,2026-03-03,True,1
D000003,Mobile,Linux,Edge,IP-245.98.103.12,2022-01-02,2026-05-14,False,19
D000004,Mobile,iOS,Edge,IP-586.97.18.163,2023-04-19,2026-04-03,True,80
D000005,Laptop,Android,Edge,IP-131.244.143.53,2025-11-25,2026-03-24,True,27
D000006,Laptop,iOS,Chrome,IP-062.103.55.20,2023-02-07,2026-03-11,True,16
D000007,Laptop,Windows,Chrome,IP-298.29.211.175,2023-08-09,2025-09-09,False,47
D000008,Desktop,Android,Safari,IP-545.173.124.188,2021-05-13,2025-08-01,True,35
D000009,Desktop,Linux,Safari,IP-606.173.10.17,2023-05-04,2026-05-04,True,20
D000010,Laptop,Linux,Firefox,IP-904.41.90.241,2025-07-12,2025-08-14,False,6
D000011,Desktop,macOS,Firefox,IP-925.189.95.179,2023-11-16,2025-09-21,True,85
D000012,Mobile,Android,Edge,IP-686.247.48.2,2022-01-31,2026-03-07,True,15
D000013,Tablet,Android,Safari,IP-738.32.185.152,2023-09-19,2025-11-28,True,90
D000014,Desktop,Android,Chrome,IP-755.253.182.205,2022-08-26,2025-01-22,False,91
D000015,Desktop,Android,Chrome,IP-461.147.67.115,2022-03-22,2026-05-06,True,91
D000016,Mobile,iOS,Edge,IP-118.239.98.184,2022-09-29,2026-06-28,False,95
D000017,Laptop,Linux,Safari,IP-931.88.195.135,2023-12-19,2025-06-25,False,39
D000018,Desktop,Android,Edge,IP-797.209.99.92,2024-10-19,2025-12-27,True,47
D000019,Laptop,Linux,Firefox,IP-188.109.21.137,2023-06-15,2025-08-29,True,13
D000020,Laptop,iOS,Firefox,IP-581.87.141.6,2021-05-04,2026-05-30,True,47
D000021,Desktop,Linux,Chrome,IP-418.135.63.250,2021-10-22,2025-10-24,True,83
D000022,Laptop,Linux,Chrome,IP-372.68.95.209,2024-05-26,2025-11-15,True,2
D000023,Tablet,macOS,Firefox,IP-886.156.152.200,2021-05-27,2026-05-06,False,88
D000024,Laptop,macOS,Firefox,IP-415.52.128.246,2022-08-26,2026-07-09,True,26
D000025,Desktop,Android,Chrome,IP-117.125.5.15,2024-01-03,2025-08-30,True,60
D000026,Laptop,Linux,Chrome,IP-193.140.105.170,2025-12-07,2025-04-04,True,29
D000027,Mobile,macOS,Chrome,IP-798.221.101.138,2025-01-24,2026-03-11,True,84
D000028,Laptop,macOS,Safari,IP-753.156.216.50,2025-01-23,2025-11-06,True,13
D000029,Laptop,Android,Safari,IP-667.248.201.205,2023-10-31,2026-01-29,False,33
D000030,Mobile,Linux,Safari,IP-165.211.98.185,2023-04-16,2026-02-22,True,23
D000031,Desktop,iOS,Edge,IP-939.46.196.148,2023-07-27,2025-05-07,True,65
D000032,Desktop,Linux,Firefox,IP-827.125.149.87,2021-04-09,2025-12-12,False,91
D000033,Mobile,iOS,Chrome,IP-590.81.36.134,2021-08-09,2025-04-21,False,52
D000034,Mobile,macOS,Firefox,IP-227.102.53.40,2022-11-03,2026-05-15,False,43
D000035,Desktop,macOS,Safari,IP-400.27.196.100,2025-04-24,2025-11-19,False,50
D000036,Tablet,Android,Firefox,IP-134.127.196.44,2025-05-07,2025-08-15,True,5
D000037,Mobile,Windows,Safari,IP-689.18.69.55,2025-07-09,2026-02-19,True,43
D000038,Desktop,iOS,Chrome,IP-990.140.189.211,2021-01-14,2026-05-26,False,42
D000039,Laptop,Windows,Safari,IP-470.82.3.142,2025-03-13,2026-03-17,False,42
D000040,Mobile,iOS,Safari,IP-022.49.129.235,2021-08-20,2026-04-12,True,70
D000041,Mobile,iOS,Edge,IP-665.175.16.51,2022-04-11,2025-04-13,True,58
D000042,Desktop,Android,Edge,IP-813.90.129.99,2024-01-18,2026-04-18,True,19
D000043,Laptop,Linux,Chrome,IP-989.64.60.211,2021-10-27,2025-12-09,True,77
D000044,Mobile,iOS,Chrome,IP-920.85.224.84,2023-08-09,2026-04-02,True,79
D000045,Laptop,Windows,Safari,IP-468.2.211.90,2025-07-04,2025-07-14,True,77
D000046,Tablet,iOS,Edge,IP-952.167.118.79,2021-10-28,2025-05-02,False,78
D000047,Tablet,Windows,Firefox,IP-852.166.193.217,2023-01-29,2026-06-07,True,10
D000048,Desktop,Linux,Chrome,IP-562.99.117.21,2022-01-02,2025-09-19,True,32
D000049,Desktop,macOS,Edge,IP-037.183.226.168,2024-11-03,2025-10-06,True,15
D000050,Mobile,Linux,Safari,IP-973.105.186.247,2025-11-16,2025-05-11,True,48
D000051,Mobile,Windows,Chrome,IP-851.64.80.203,2021-09-24,2026-04-19,True,52
D000052,Desktop,Linux,Firefox,IP-516.22.22.156,2024-07-26,2025-03-28,True,16
D000053,Desktop,Android,Edge,IP-447.73.240.202,2023-07-05,2025-03-15,True,28
D000054,Tablet,macOS,Firefox,IP-984.165.41.36,2022-10-24,2026-01-11,False,64
D000055,Mobile,macOS,Firefox,IP-594.53.98.168,2025-08-20,2026-05-15,True,80
D000056,Laptop,iOS,Safari,IP-907.120.9.252,2025-05-05,2026-04-21,True,68
D000057,Laptop,iOS,Edge,IP-987.104.126.245,2023-03-13,2025-08-28,True,21
D000058,Mobile,iOS,Chrome,IP-293.97.171.224,2024-04-18,2025-01-07,True,72
