EmployeeID,BankID,EmployeeName,Department,Role,ExperienceYears,CasesAssigned,CasesResolved
E00001,2,Investigator 001,Compliance,Analyst,15,79,75
E00002,7,Investigator 002,AML,Senior Analyst,7,92,14
E00003,3,Investigator 003,AML,Manager,10,60,44
E00004,10,Investigator 004,Compliance,Manager,8,89,5
E00005,8,Investigator 005,Risk,Investigator,3,49,44
E00006,7,Investigator 006,Compliance,Investigator,8,70,5
E00007,2,Investigator 007,Risk,Analyst,1,73,26
E00008,10,Investigator 008,Fraud Operations,Manager,9,67,79
E00009,3,Investigator 009,Fraud Operations,Manager,8,82,35
E00010,3,Investigator 010,Compliance,Manager,4,38,49
E00011,4,Investigator 011,Risk,Investigator,4,18,22
E00012,6,Investigator 012,Compliance,Manager,8,30,71
E00013,7,Investigator 013,Risk,Investigator,1,15,6
E00014,2,Investigator 014,AML,Analyst,10,99,12
E00015,2,Investigator 015,Fraud Operations,Senior Analyst,3,34,67
E00016,9,Investigator 016,Fraud Operations,Senior Analyst,7,67,41
E00017,3,Investigator 017,AML,Manager,7,67,74
E00018,6,Investigator 018,Risk,Investigator,15,7,28
E00019,6,Investigator 019,AML,Senior Analyst,11,99,48
E00020,6,Investigator 020,Compliance,Investigator,13,22,32
E00021,6,Investigator 021,Fraud Operations,Analyst,9,12,22
E00022,1,Investigator 022,Fraud Operations,Manager,2,47,34
E00023,2,Investigator 023,Fraud Operations,Manager,3,29,36
E00024,9,Investigator 024,Compliance,Manager,6,92,24
E00025,9,Investigator 025,Fraud Operations,Analyst,11,39,8
E00026,6,Investigator 026,Risk,Analyst,4,83,29
E00027,5,Investigator 027,Fraud Operations,Investigator,2,32,25
E00028,10,Investigator 028,AML,Analyst,6,94,29
E00029,10,Investigator 029,AML,Senior Analyst,1,5,79
E00030,7,Investigator 030,Compliance,Manager,14,50,40
E00031,1,Investigator 031,Compliance,Analyst,15,75,32
E00032,1,Investigator 032,Compliance,Investigator,11,91,22
E00033,10,Investigator 033,Risk,Senior Analyst,8,47,13
E00034,1,Investigator 034,Risk,Manager,15,29,70
E00035,7,Investigator 035,Fraud Operations,Senior Analyst,14,13,9
E00036,10,Investigator 036,Fraud Operations,Investigator,4,51,18
E00037,3,Investigator 037,Risk,Senior Analyst,7,81,62
E00038,8,Investigator 038,AML,Analyst,13,20,15
E00039,2,Investigator 039,AML,Investigator,8,19,21
E00040,6,Investigator 040,Compliance,Analyst,12,67,45
E00041,3,Investigator 041,AML,Investigator,8,88,45
E00042,9,Investigator 042,AML,Investigator,6,46,9
E00043,7,Investigator 043,Risk,Investigator,13,10,20
E00044,3,Investigator 044,Compliance,Senior Analyst,10,41,23
