MerchantID,MerchantName,MerchantCategory,City,State,Country,MerchantRiskScore,MerchantStatus,AverageTransactionAmount
M00001,Global Pay 1,Healthcare,Los Angeles,California,USA,11,Active,69.17
M00002,Global Tech 2,Gaming,Miami,Florida,USA,82,Active,161.97
M00003,Apex Travel 3,Travel,Ahmedabad,Gujarat,India,99,Active,50.24
M00004,Blue Tech 4,Grocery,Miami,Florida,USA,26,Active,59.87
M00005,Global Foods 5,Gaming,San Francisco,California,USA,90,Active,93.17
M00006,Global Tech 6,Gaming,Miami,Florida,USA,77,Active,596.17
M00007,Prime Market 7,Money Transfer,Leeds,England,UK,13,Active,34.02
M00008,Apex Market 8,Healthcare,Hyderabad,Telangana,India,86,Active,106.39
M00009,Prime Foods 9,Fuel,San Francisco,California,USA,4,Active,244.63
M00010,Metro Mart 10,Healthcare,Los Angeles,California,USA,67,Active,847.25
M00011,Urban Market 11,Grocery,Hyderabad,Telangana,India,93,Active,110.74
M00012,Apex Mart 12,Money Transfer,Liverpool,England,UK,4,Active,386.77
M00013,Global Foods 13,Travel,Los Angeles,California,USA,38,Active,255.78
M00014,Apex Market 14,Marketplace,Houston,Texas,USA,54,Active,99.98
M00015,Global Tech 15,Healthcare,Berlin,Berlin,Germany,7,Active,61.21
M00016,Nova Services 16,Jewelry,Mumbai,Maharashtra,India,39,Active,34.15
M00017,Urban Foods 17,Fuel,Houston,Texas,USA,8,Active,36.82
M00018,Prime Services 18,Fuel,Hyderabad,Telangana,India,58,Active,62.03
M00019,Nova Tech 19,Electronics,Manchester,England,UK,9,Active,197.83
M00020,Blue Foods 20,Restaurant,Frankfurt,Hesse,Germany,27,Active,96.67
M00021,Global Foods 21,Fuel,Frankfurt,Hesse,Germany,51,Active,214.81
M00022,Quick Mart 22,Fashion,Mumbai,Maharashtra,India,39,Active,286.21
M00023,Quick Market 23,Gaming,New York,New York,USA,58,Active,56.71
M00024,Urban Pay 24,Money Transfer,Chicago,Illinois,USA,99,Active,554.26
M00025,Urban Services 25,Travel,Pune,Maharashtra,India,3,Active,112.32
M00026,Metro Store 26,Marketplace,New York,New York,USA,35,Active,207.74
M00027,Metro Store 27,Money Transfer,Seattle,Washington,USA,19,Active,60.6
M00028,Metro Foods 28,Fashion,San Francisco,California,USA,48,Active,99.45
M00029,Prime Travel 29,Healthcare,Chennai,Tamil Nadu,India,20,Active,850.77
M00030,Blue Market 30,Grocery,Los Angeles,California,USA,51,Active,222.92
M00031,Global Services 31,Travel,New York,New York,USA,18,Active,295.74
M00032,Prime Services 32,Fuel,Leeds,England,UK,37,Active,107.55
M00033,Metro Mart 33,Fashion,Chicago,Illinois,USA,61,Active,79.82
M00034,Quick Mart 34,Gaming,London,England,UK,94,Active,57.71
M00035,Global Travel 35,Fuel,Cologne,North Rhine-Westphalia,Germany,72,Active,376.65
M00036,Metro Foods 36,Travel,Delhi,Delhi,India,32,Active,176.2
M00037,Urban Foods 37,Crypto Exchange,Delhi,Delhi,India,50,Active,154.62
M00038,Blue Travel 38,Restaurant,Pune,Maharashtra,India,5,Active,68.01
M00039,Nova Store 39,Money Transfer,Delhi,Delhi,India,81,Active,63.37
M00040,Blue Tech 40,Travel,Mumbai,Maharashtra,India,96,Active,177.66
M00041,Prime Services 41,Fashion,Kolkata,West Bengal,India,24,Active,46.88
M00042,Prime Store 42,Fuel,Delhi,Delhi,India,45,Active,47.39
M00043,Global Market 43,Grocery,Houston,Texas,USA,55,Active,103.55
M00044,Urban Store 44,Marketplace,Seattle,Washington,USA,23,Active,159.78
M00045,Quick Mart 45,Marketplace,Berlin,Berlin,Germany,68,Active,98.93
M00046,Blue Store 46,Travel,Seattle,Washington,USA,56,Active,42.23
M00047,Prime Tech 47,Grocery,Chennai,Tamil Nadu,India,20,Active,100.6
M00048,Metro Pay 48,Money Transfer,Miami,Florida,USA,60,Active,28.31
M00049,Metro Store 49,Healthcare,Chicago,Illinois,USA,37,Active,11.12
M00050,Blue Foods 50,Restaurant,New York,New York,USA,68,Active,17.75
M00051,Prime Foods 51,Travel,Liverpool,England,UK,19,Active,109.83
M00052,Prime Pay 52,Money Transfer,Chicago,Illinois,USA,19,Active,178.31
M00053,Global Store 53,Money Transfer,Ahmedabad,Gujarat,India,45,Active,170.74
M00054,Quick Store 54,Crypto Exchange,Seattle,Washington,USA,88,Active,39.75
M00055,Quick Mart 55,Crypto Exchange,Seattle,Washington,USA,15,Active,422.75
M00056,Quick Pay 56,Travel,Bengaluru,Karnataka,India,7,Active,106.48
M00057,Metro Tech 57,Travel,Pune,Maharashtra,India,84,Active,131.89
M00058,Apex Tech 58,Marketplace,Munich,Bavaria,Germany,60,Active,215.26
M00059,Global Market 59,Grocery,Miami,Florida,USA,31,Active,515.79
M00060,Blue Mart 60,Electronics,Manchester,England,UK,2,Active,330.29
M00061,Nova Market 61,Gaming,Hyderabad,Telangana,India,83,Active,127.53
M00062,Apex Store 62,Electronics,London,England,UK,12,Active,38.19
M00063,Apex Store 63,Restaurant,New York,New York,USA,63,Active,440.55
M00064,Nova Travel 64,Restaurant,Seattle,Washington,USA,54,Active,131.85
M00065,Blue Travel 65,Crypto Exchange,Manchester,England,UK,76,Active,13.0
M00066,Metro Store 66,Crypto Exchange,Kolkata,West Bengal,India,97,Active,60.67
M00067,Blue Services 67,Crypto Exchange,Chennai,Tamil Nadu,India,10,Suspended,354.52
M00068,Quick Store 68,Travel,Berlin,Berlin,Germany,44,Active,42.18
M00069,Urban Market 69,Fuel,Chicago,Illinois,USA,4,Active,587.28
M00070,Blue Market 70,Crypto Exchange,Hyderabad,Telangana,India,52,Active,141.84
M00071,Urban Market 71,Travel,London,England,UK,67,Active,25.21
M00072,Blue Pay 72,Electronics,Miami,Florida,USA,30,Active,336.2
M00073,Quick Travel 73,Money Transfer,Dallas,Texas,USA,80,Active,16.72
