FraudCaseID,TransactionID,CustomerID,FraudType,FraudStatus,RiskLevel,InvestigatorID,InvestigationDate,ResolutionDate,InvestigationDurationHours,FraudAmount,RecoveredAmount,FinancialLoss,CasePriority,InvestigationResult
FC000001,T00000019,C002410,Phishing,Closed,High,E00029,26-09-2025,02-10-2025,144,1659.59,674.61,984.98,High,Law Enforcement Referred
FC000002,T00000024,C004120,Online Banking Fraud,Under Investigation,High,E00009,03-01-2025,,NULL,185.73,0,185.73,Medium,False Positive
FC000003,T00000087,C000517,Identity Theft,Closed,High,E00050,21-12-2025,21-12-2025,0,173.36,0,173.36,Critical,Confirmed Fraud
FC000004,T00000098,C000075,Account Takeover,Closed,Medium,E00052,02-03-2025,02-03-2025,0,706.25,197.34,508.91,Medium,Law Enforcement Referred
FC000005,T00000131,C002080,ATM Fraud,Closed,Medium,E00084,18-01-2026,18-01-2026,0,1202.63,0,1202.63,Critical,Account Secured
FC000006,T00000144,C000025,Money Laundering,Closed,Critical,E00084,24-03-2026,02-04-2026,216,2337.31,666.59,1670.72,Critical,Account Secured
FC000007,T00000150,C003060,Identity Theft,Closed,High,E00098,25-04-2025,04-05-2025,216,753.23,654.15,99.09,High,False Positive
FC000008,T00000171,C000758,Merchant Fraud,Open,High,E00052,04-03-2025,,168,280.15,197.26,82.89,High,Customer Reimbursed
FC000009,T00000220,C001617,ATM Fraud,Closed,High,E00049,23-01-2025,23-01-2025,0,1462,0,1462,Critical,Law Enforcement Referred
FC000010,T00000268,C002204,UPI Fraud,Closed,High,E00028,27-03-2025,05-04-2025,216,440.78,53.39,387.38,Medium,False Positive
FC000011,T00000298,C000486,Online Banking Fraud,Open,Medium,E00100,03-11-2025,,NULL,1613.84,0,1613.84,Low,Account Secured
FC000012,T00000306,C000879,Online Banking Fraud,Escalated,Critical,E00031,06-04-2026,,24,1071.14,192.07,879.07,High,Account Secured
FC000013,T00000407,C000439,ATM Fraud,Closed,High,E00111,04-02-2025,04-02-2025,0,1047.27,0,1047.27,High,Account Secured
FC000014,T00000410,C001639,Card Theft,Closed,Medium,E00145,13-05-2025,19-05-2025,144,721.02,618.33,102.7,High,Account Secured
FC000015,T00000417,C000553,Phishing,Closed,Critical,E00046,11-09-2025,16-09-2025,120,155.1,118.02,37.08,Low,False Positive
FC000016,T00000432,C000340,Online Banking Fraud,Closed,High,E00028,30-05-2026,30-05-2026,0,2227.8,0,2227.8,High,Customer Reimbursed
FC000017,T00000438,C003290,Online Banking Fraud,Closed,High,E00077,28-02-2025,28-02-2025,0,82.9,0,82.9,Critical,Customer Reimbursed
FC000018,T00000445,C001964,Account Takeover,Closed,High,E00149,13-10-2025,15-10-2025,48,1507.06,657.59,849.48,Low,Customer Reimbursed
FC000019,T00000473,C003318,Online Banking Fraud,Closed,High,E00147,17-07-2026,25-07-2026,192,206.98,158.12,48.86,High,Confirmed Fraud
FC000020,T00000477,C003057,Card Theft,Closed,High,E00001,14-01-2025,21-01-2025,168,205.23,95.03,110.2,High,False Positive
FC000021,T00000488,C004847,Account Takeover,Under Investigation,Medium,E00053,22-03-2026,,NULL,1437.89,0,1437.89,Low,Law Enforcement Referred
FC000022,T00000498,C002918,Card Theft,Closed,Critical,E00034,24-03-2026,24-03-2026,0,180.3,0,180.3,Medium,False Positive
FC000023,T00000528,C003818,Identity Theft,Closed,Medium,E00122,12-04-2025,21-04-2025,216,265.14,89.69,175.45,High,Law Enforcement Referred
FC000024,T00000538,C002654,Suspicious Transfer,Open,High,E00080,28-11-2025,,96,145.74,120.72,25.02,High,Account Secured
FC000025,T00000568,C000949,Online Banking Fraud,Closed,Critical,E00098,19-04-2026,19-04-2026,0,994.92,0,994.92,Critical,Confirmed Fraud
FC000026,T00000569,C002959,Money Laundering,Under Investigation,High,E00120,26-04-2025,,144,197.86,142.76,55.11,Low,Law Enforcement Referred
FC000027,T00000589,C001861,Card Theft,Closed,Medium,E00035,30-05-2025,05-06-2025,144,255.56,172.87,82.69,Medium,Law Enforcement Referred
FC000028,T00000621,C004961,Account Takeover,Closed,Critical,E00145,12-03-2026,19-03-2026,168,122.4,59.56,62.84,Low,False Positive
FC000029,T00000622,C001260,Account Takeover,Closed,Critical,E00120,12-01-2026,14-01-2026,48,614.53,300.16,314.37,Medium,Confirmed Fraud
FC000030,T00000641,C000942,Money Laundering,Under Investigation,High,E00076,22-01-2026,,144,1406.18,309.46,1096.72,High,Confirmed Fraud
FC000031,T00000646,C002558,Card Theft,Closed,High,E00112,13-04-2026,19-04-2026,144,1595.65,313.99,1281.66,High,Account Secured
FC000032,T00000663,C001611,ATM Fraud,Closed,Medium,E00115,15-02-2026,15-02-2026,0,465.46,0,465.46,Medium,Account Secured
FC000033,T00000691,C001472,UPI Fraud,Escalated,Medium,E00063,06-01-2025,,24,1254.48,454.04,800.44,Critical,Law Enforcement Referred
FC000034,T00000703,C003515,UPI Fraud,Closed,High,E00094,07-12-2025,11-12-2025,96,620.67,172.49,448.19,High,Law Enforcement Referred
