LoginID,CustomerID,DeviceID,LoginTime,IPAddress,Browser,OperatingSystem,LocationID,LoginStatus,FailureReason,IsNewDevice,IsNewLocation,IsSuspicious,RiskScore,FailedAttempts24H
LN0000001,C004911,D001308,2025-12-15 17:59:57,IP-184.89.24.160,Safari,Windows,L0009,Success,,True,False,False,30,3
LN0000002,C004986,D000831,2025-01-30 01:45:58,IP-136.225.160.103,Edge,Android,L0030,Success,,False,False,False,68,2
LN0000003,C002711,D000567,2025-03-09 22:02:46,IP-067.9.67.95,Chrome,Linux,L0034,Success,,True,False,False,33,0
LN0000004,C000778,D003012,2025-07-30 02:44:03,IP-837.83.93.4,Chrome,iOS,L0021,Success,,False,False,True,95,5
LN0000005,C002058,D001508,2026-03-09 01:34:06,IP-117.51.183.222,Safari,Android,L0025,Success,,True,False,False,22,0
LN0000006,C000496,D001276,2025-05-25 03:41:52,IP-966.52.30.25,Edge,Linux,L0043,Success,,False,False,False,25,3
LN0000007,C001269,D000636,2025-03-02 04:41:31,IP-601.215.97.145,Firefox,Linux,L0044,Success,,False,False,True,51,5
LN0000008,C001871,D000639,2026-01-22 23:14:03,IP-530.240.167.160,Firefox,Linux,L0046,Success,,False,False,False,30,0
LN0000009,C003703,D000887,2025-01-10 12:23:29,IP-885.3.189.113,Edge,macOS,L0023,Success,,False,False,False,1,3
LN0000010,C000315,D000902,2025-07-03 03:52:19,IP-570.16.39.159,Chrome,Android,L0011,Success,,False,False,True,70,5
LN0000011,C004767,D001022,2025-07-23 21:04:14,IP-331.146.54.174,Firefox,Windows,L0035,Success,,False,False,False,30,0
LN0000012,C001389,D002373,2025-04-13 00:15:33,IP-541.95.27.108,Safari,macOS,L0007,Success,,False,False,False,50,3
LN0000013,C001569,D001053,2025-06-10 12:04:33,IP-973.12.157.145,Edge,Windows,L0036,Success,,True,False,False,69,0
LN0000014,C002961,D002210,2025-03-26 23:49:30,IP-223.219.61.214,Edge,Windows,L0016,Success,,False,False,False,1,1
LN0000015,C000815,D000436,2025-11-09 00:15:55,IP-689.224.185.194,Chrome,Windows,L0009,Success,,False,False,False,48,0
LN0000016,C001435,D000749,2025-08-08 05:15:01,IP-787.146.132.247,Firefox,Android,L0051,Success,,True,False,False,7,0
LN0000017,C000656,D003567,2026-01-14 19:26:07,IP-540.173.3.165,Chrome,Android,L0034,Failed,Invalid Password,False,False,False,29,1
LN0000018,C004661,D001020,2025-12-14 07:15:24,IP-669.197.2.98,Safari,macOS,L0051,Success,,False,False,False,16,1
